,Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
0,08-05-2015,1.9340000000000002,905.0,0.65,0,1.355,46,0,0,168.0
1,09-05-2015,3.6310000000000002,18925.0,14.11,4,611.0,316,61,60,2248.0
2,10-05-2015,3.2039999999999997,14228.0,10.57,1,602.0,226,14,77,1719.0
3,11-05-2015,2.673,6756.0,5.02,8,749.0,190,23,4,962.0
4,12-05-2015,2.495,5020.0,3.73,1,876.0,171,0,0,736.0
5,13-05-2015,2.76,7790.0,5.79,15,726.0,172,34,18,1094.0
6,14-05-2015,2.687,5614.0,4.17,2,782.0,216,13,1,983.0
7,15-05-2015,2.793,8169.000000000001,6.07,14,801.0,218,8,7,1092.0
8,16-05-2015,4.061,19971.0,14.84,18,532.0,247,101,118,2700.0
9,17-05-2015,3.3489999999999998,8520.0,6.33,12,606.0,186,46,73,1766.0
10,18-05-2015,2.9610000000000003,11998.0,8.91,20,936.0,189,18,51,1371.0
11,19-05-2015,2.911,12425.0,9.23,14,827.0,186,18,54,1351.0
12,20-05-2015,2.569,6008.0,4.46,8,783.0,214,15,2,939.0
13,21-05-2015,3.228,16291.0,12.1,18,616.0,237,48,52,1766.0
14,22-05-2015,2.529,6111.0,4.54,8,820.0,190,14,5,882.0
15,23-05-2015,4.197,17928.0,13.32,17,533.0,262,79,132,2880.0
16,24-05-2015,3.8989999999999996,13893.0,10.32,6,641.0,222,33,140,2502.0
17,25-05-2015,2.519,5109.0,3.8,8,861.0,200,0,0,847.0
18,26-05-2015,2.3569999999999998,4430.0,3.29,6,1.2690000000000001,156,0,0,644.0
19,27-05-2015,3.2089999999999996,7498.0,5.57,18,692.0,196,64,50,1676.0
20,28-05-2015,2.8110000000000004,8490.0,6.31,14,771.0,212,8,13,1148.0
21,29-05-2015,2.5580000000000003,5650.0,4.2,8,789.0,208,0,0,890.0
22,30-05-2015,4.17,21479.0,15.98,16,503.0,230,55,153,2794.0
23,31-05-2015,3.533,18995.0,14.11,12,660.0,269,86,43,2092.0
24,01-06-2015,3.3539999999999996,16836.0,12.51,8,586.0,248,35,70,1862.0
25,02-06-2015,3.3689999999999998,15944.0,11.85,29,640.0,214,15,93,1827.0
26,03-06-2015,3.168,14273.0,10.6,11,721.0,178,16,89,1592.0
27,04-06-2015,3.47,16059.999999999998,11.93,11,724.0,239,38,70,1939.0
28,05-06-2015,3.134,13594.0,10.1,16,677.0,215,36,52,1583.0
29,06-06-2015,3.4360000000000004,15480.0,11.5,11,520.0,246,78,42,1927.0
30,07-06-2015,3.634,19440.0,14.48,8,966.0,210,28,130,2155.0
31,08-06-2015,3.267,13926.0,10.35,21,701.0,265,63,29,1785.0
32,09-06-2015,3.072,11338.0,8.42,28,806.0,228,43,31,1494.0
33,10-06-2015,2.75,7140.0,5.31,12,785.0,220,20,4,1081.0
34,11-06-2015,3.187,15449.0,11.48,22,676.0,205,39,64,1676.0
35,12-06-2015,3.207,11920.0,8.86,11,593.0,352,34,11,1777.0
36,13-06-2015,4.083,26444.0,19.65,22,549.0,429,56,56,2818.0
37,14-06-2015,2.7889999999999997,12335.0,9.16,35,1.245,88,10,93,1209.0
38,15-06-2015,3.234,14137.0,10.5,11,642.0,305,8,51,1756.0
39,16-06-2015,2.952,11568.0,8.66,13,734.0,189,17,54,1352.0
40,17-06-2015,3.352,16813.0,12.52,52,709.0,202,2,110,1809.0
41,18-06-2015,3.425,15217.0,11.31,61,641.0,280,44,59,1974.0
42,19-06-2015,3.09,13158.0,9.78,101,715.0,171,30,66,1511.0
43,20-06-2015,3.699,19311.0,14.35,14,519.0,291,55,93,2348.0
44,21-06-2015,3.385,16186.0,12.03,42,637.0,229,52,75,1921.0
45,22-06-2015,3.088,12713.0,9.48,59,631.0,225,24,44,1533.0
46,23-06-2015,2.823,9132.0,6.79,15,777.0,223,32,15,1236.0
47,24-06-2015,3.678,20239.0,15.04,25,621.0,292,37,95,2292.0
48,25-06-2015,3.003,11199.0,8.32,28,737.0,227,36,20,1419.0
49,26-06-2015,3.534,20269.0,15.06,4,720.0,218,54,99,2078.0
50,27-06-2015,3.022,11655.0,8.66,10,670.0,220,28,53,1491.0
51,28-06-2015,3.237,12314.0,9.15,21,601.0,290,25,51,1750.0
52,29-06-2015,3.142,12586.0,9.35,19,735.0,234,35,49,1579.0
53,30-06-2015,2.945,12445.0,9.25,11,635.0,200,18,58,1393.0
54,01-07-2015,3.352,14193.0,10.55,19,669.0,210,47,70,1782.0
55,02-07-2015,3.063,11560.0,8.62,30,708.0,158,25,67,1419.0
56,03-07-2015,3.465,15695.0,11.66,22,648.0,248,63,54,1947.0
57,04-07-2015,2.8939999999999997,9747.0,7.24,8,646.0,253,22,19,1337.0
58,05-07-2015,3.515,15731.0,11.69,17,567.0,317,52,55,2111.0
59,06-07-2015,2.699,8391.0,6.23,11,877.0,136,36,30,1082.0
60,07-07-2015,2.74,8326.0,6.19,11,1.1179999999999999,217,10,3,1106.0
61,08-07-2015,3.2439999999999998,14241.0,10.58,14,700.0,234,22,59,1662.0
62,09-07-2015,2.9939999999999998,7298.0,5.42,6,836.0,290,10,1,1322.0
63,10-07-2015,3.134,10644.0,7.91,15,683.0,283,36,17,1606.0
64,11-07-2015,3.1910000000000003,12371.0,9.19,11,639.0,194,46,60,1589.0
65,12-07-2015,2.81,7580.0,5.63,10,607.0,258,16,0,1201.0
66,13-07-2015,3.259,12168.0,9.04,18,731.0,212,52,60,1725.0
67,14-07-2015,3.383,15135.0,11.28,20,740.0,167,47,87,1813.0
68,15-07-2015,3.569,14996.0,11.14,32,573.0,321,50,54,2155.0
69,16-07-2015,3.017,8704.0,6.47,14,697.0,225,31,29,1392.0
